id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kategori_gizi_buruk,jumlah_balita,satuan,tahun
212,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,BALITA PENDEK,6891,ORANG,2021
213,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,BALITA KURUS,6891,ORANG,2021
214,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,BALITA GIZI KURANG,347,ORANG,2021
215,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,BALITA PENDEK,803,ORANG,2021
216,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,BALITA KURUS,904,ORANG,2021
217,32,JAWA BARAT,3271,KOTA BOGOR,BALITA GIZI KURANG,2824,ORANG,2021
218,32,JAWA BARAT,3271,KOTA BOGOR,BALITA PENDEK,3875,ORANG,2021
219,32,JAWA BARAT,3271,KOTA BOGOR,BALITA KURUS,3465,ORANG,2021
220,32,JAWA BARAT,3272,KOTA SUKABUMI,BALITA GIZI KURANG,621,ORANG,2021
221,32,JAWA BARAT,3272,KOTA SUKABUMI,BALITA PENDEK,996,ORANG,2021
222,32,JAWA BARAT,3272,KOTA SUKABUMI,BALITA KURUS,1206,ORANG,2021
223,32,JAWA BARAT,3273,KOTA BANDUNG,BALITA GIZI KURANG,3941,ORANG,2021
224,32,JAWA BARAT,3273,KOTA BANDUNG,BALITA PENDEK,7568,ORANG,2021
225,32,JAWA BARAT,3273,KOTA BANDUNG,BALITA KURUS,5612,ORANG,2021
226,32,JAWA BARAT,3274,KOTA CIREBON,BALITA GIZI KURANG,1108,ORANG,2021
227,32,JAWA BARAT,3274,KOTA CIREBON,BALITA PENDEK,2359,ORANG,2021
228,32,JAWA BARAT,3274,KOTA CIREBON,BALITA KURUS,2399,ORANG,2021
229,32,JAWA BARAT,3275,KOTA BEKASI,BALITA GIZI KURANG,7343,ORANG,2021
230,32,JAWA BARAT,3275,KOTA BEKASI,BALITA PENDEK,9832,ORANG,2021
231,32,JAWA BARAT,3275,KOTA BEKASI,BALITA KURUS,7663,ORANG,2021
232,32,JAWA BARAT,3276,KOTA DEPOK,BALITA GIZI KURANG,2397,ORANG,2021
233,32,JAWA BARAT,3276,KOTA DEPOK,BALITA PENDEK,3675,ORANG,2021
234,32,JAWA BARAT,3276,KOTA DEPOK,BALITA KURUS,4639,ORANG,2021
235,32,JAWA BARAT,3277,KOTA CIMAHI,BALITA GIZI KURANG,1221,ORANG,2021
236,32,JAWA BARAT,3277,KOTA CIMAHI,BALITA PENDEK,3261,ORANG,2021
237,32,JAWA BARAT,3277,KOTA CIMAHI,BALITA KURUS,2199,ORANG,2021
238,32,JAWA BARAT,3278,KOTA TASIKMALAYA,BALITA GIZI KURANG,2477,ORANG,2021
239,32,JAWA BARAT,3278,KOTA TASIKMALAYA,BALITA PENDEK,6243,ORANG,2021
240,32,JAWA BARAT,3278,KOTA TASIKMALAYA,BALITA KURUS,4452,ORANG,2021
241,32,JAWA BARAT,3279,KOTA BANJAR,BALITA GIZI KURANG,727,ORANG,2021
242,32,JAWA BARAT,3279,KOTA BANJAR,BALITA PENDEK,976,ORANG,2021
243,32,JAWA BARAT,3279,KOTA BANJAR,BALITA KURUS,1060,ORANG,2021
244,32,JAWA BARAT,3201,KABUPATEN BOGOR,BALITA GIZI KURANG,16991,ORANG,2022
245,32,JAWA BARAT,3201,KABUPATEN BOGOR,BALITA PENDEK,18666,ORANG,2022
246,32,JAWA BARAT,3201,KABUPATEN BOGOR,BALITA KURUS,19294,ORANG,2022
247,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,BALITA GIZI KURANG,5998,ORANG,2022
248,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,BALITA PENDEK,10231,ORANG,2022
249,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,BALITA KURUS,8872,ORANG,2022
250,32,JAWA BARAT,3203,KABUPATEN CIANJUR,BALITA GIZI KURANG,3146,ORANG,2022
251,32,JAWA BARAT,3203,KABUPATEN CIANJUR,BALITA PENDEK,6871,ORANG,2022
252,32,JAWA BARAT,3203,KABUPATEN CIANJUR,BALITA KURUS,6500,ORANG,2022
253,32,JAWA BARAT,3204,KABUPATEN BANDUNG,BALITA GIZI KURANG,10024,ORANG,2022
254,32,JAWA BARAT,3204,KABUPATEN BANDUNG,BALITA PENDEK,21018,ORANG,2022
255,32,JAWA BARAT,3204,KABUPATEN BANDUNG,BALITA KURUS,15278,ORANG,2022
256,32,JAWA BARAT,3205,KABUPATEN GARUT,BALITA GIZI KURANG,8675,ORANG,2022
257,32,JAWA BARAT,3205,KABUPATEN GARUT,BALITA PENDEK,30266,ORANG,2022
258,32,JAWA BARAT,3205,KABUPATEN GARUT,BALITA KURUS,20316,ORANG,2022
259,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,BALITA GIZI KURANG,5104,ORANG,2022
260,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,BALITA PENDEK,14122,ORANG,2022
261,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,BALITA KURUS,8880,ORANG,2022
262,32,JAWA BARAT,3207,KABUPATEN CIAMIS,BALITA GIZI KURANG,2358,ORANG,2022
263,32,JAWA BARAT,3207,KABUPATEN CIAMIS,BALITA PENDEK,1872,ORANG,2022
264,32,JAWA BARAT,3207,KABUPATEN CIAMIS,BALITA KURUS,3590,ORANG,2022
265,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,BALITA GIZI KURANG,3095,ORANG,2022
